,Qty,EntryTime,EntryPrice,ExitTime,ExitPrice,Duration,PnL,ReturnPct
0,100,2020-01-06 10:35:00,31601.91697,2020-01-06 11:55:00,31740.4653,0 days 01:20:00,13854.833000000144,0.0043841748629214194
1,100,2020-01-06 11:55:00,31756.56686,2020-01-06 12:25:00,31751.400677142858,0 days 00:30:00,-516.6182857141393,-0.00016268077339454123
2,100,2020-01-06 12:25:00,31749.96269,2020-01-06 13:05:00,31776.019957142857,0 days 00:40:00,2605.726714285629,0.0008207022917561257
3,100,2020-01-06 13:05:00,31772.60979,2020-01-06 13:45:00,31752.04161142857,0 days 00:40:00,-2056.81785714296,-0.0006473556534188907
4,100,2020-01-06 13:50:00,31770.28811,2020-01-06 14:10:00,31804.487822857143,0 days 00:20:00,3419.9712857142003,0.001076468451867152
5,100,2020-01-06 14:50:00,31913.04334,2020-01-06 15:35:00,31852.436680000003,0 days 00:45:00,-6060.665999999765,-0.0018991187820697197
6,100,2020-01-06 15:35:00,31446.54088,2020-01-07 09:35:00,31345.163497857142,0 days 18:00:00,-10137.738214285855,-0.0032238007521945278
7,100,2020-01-07 09:35:00,31367.18585,2020-01-07 10:35:00,31464.9449,0 days 01:00:00,9775.904999999693,0.0031166025051621027
8,100,2020-01-07 11:25:00,31717.28481,2020-01-07 11:35:00,31668.388965,0 days 00:10:00,-4889.584500000274,-0.0015416150938805107
9,100,2020-01-07 11:35:00,31631.50561,2020-01-07 12:40:00,31739.83492,0 days 01:05:00,10832.931000000099,0.0034247282230459586
10,100,2020-01-07 12:45:00,31725.93865,2020-01-07 13:30:00,31851.438101428572,0 days 00:45:00,12549.945142857177,0.003955736434249513
11,100,2020-01-07 13:45:00,31895.23055,2020-01-07 14:00:00,31835.98103,0 days 00:15:00,-5924.952000000121,-0.0018576294630358037
12,100,2020-01-07 14:05:00,31821.84856,2020-01-07 14:35:00,31782.874335714285,0 days 00:30:00,-3897.4224285713717,-0.0012247630495829664
